Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
30549239,WHOSIS_000014,REGION,AMR,,,YEAR,2006,SEX,BTSX,,,,,,,7.7 [7.3-8.27],7.70094,7.2954,8.2689,,2023-02-16T07:30:53Z,2006,2006-01-01,2006-12-31
30549240,WHOSIS_000014,REGION,AMR,,,YEAR,2007,SEX,BTSX,,,,,,,7.55 [7.16-8.09],7.54698,7.16427,8.08832,,2023-02-16T07:30:53Z,2007,2007-01-01,2007-12-31
30549241,WHOSIS_000014,REGION,AMR,,,YEAR,2008,SEX,BTSX,,,,,,,7.46 [7.09-7.98],7.4622,7.08569,7.98135,,2023-02-16T07:30:53Z,2008,2008-01-01,2008-12-31
30549242,WHOSIS_000014,REGION,AMR,,,YEAR,2009,SEX,BTSX,,,,,,,7.36 [7-7.87],7.36023,6.99977,7.86537,,2023-02-16T07:30:53Z,2009,2009-01-01,2009-12-31
30549243,WHOSIS_000014,REGION,AMR,,,YEAR,2010,SEX,BTSX,,,,,,,7.28 [6.94-7.77],7.27849,6.93747,7.77248,,2023-02-16T07:30:53Z,2010,2010-01-01,2010-12-31
30549244,WHOSIS_000014,REGION,AMR,,,YEAR,2011,SEX,BTSX,,,,,,,7.19 [6.86-7.67],7.19449,6.86152,7.67196,,2023-02-16T07:30:53Z,2011,2011-01-01,2011-12-31
30549245,WHOSIS_000014,REGION,AMR,,,YEAR,2012,SEX,BTSX,,,,,,,7.11 [6.78-7.56],7.1076,6.7792,7.56065,,2023-02-16T07:30:53Z,2012,2012-01-01,2012-12-31
30549246,WHOSIS_000014,REGION,AMR,,,YEAR,2013,SEX,BTSX,,,,,,,7 [6.67-7.46],6.99914,6.67096,7.45504,,2023-02-16T07:30:53Z,2013,2013-01-01,2013-12-31
30549247,WHOSIS_000014,REGION,AMR,,,YEAR,2014,SEX,BTSX,,,,,,,6.85 [6.54-7.3],6.85288,6.53856,7.29635,,2023-02-16T07:30:53Z,2014,2014-01-01,2014-12-31
30549248,WHOSIS_000014,REGION,AMR,,,YEAR,2015,SEX,BTSX,,,,,,,6.8 [6.48-7.25],6.79843,6.47855,7.25116,,2023-02-16T07:30:53Z,2015,2015-01-01,2015-12-31
30549249,WHOSIS_000014,REGION,AMR,,,YEAR,2016,SEX,BTSX,,,,,,,6.76 [6.44-7.21],6.75972,6.43638,7.21173,,2023-02-16T07:30:53Z,2016,2016-01-01,2016-12-31
30549250,WHOSIS_000014,REGION,AMR,,,YEAR,2017,SEX,BTSX,,,,,,,6.62 [6.3-7.08],6.61695,6.29594,7.08231,,2023-02-16T07:30:53Z,2017,2017-01-01,2017-12-31
30549251,WHOSIS_000014,REGION,AMR,,,YEAR,2018,SEX,BTSX,,,,,,,6.53 [6.2-7],6.5303,6.19984,7.00412,,2023-02-16T07:30:53Z,2018,2018-01-01,2018-12-31
30549252,WHOSIS_000014,REGION,AMR,,,YEAR,2019,SEX,BTSX,,,,,,,6.42 [6.09-6.9],6.41659,6.08542,6.90207,,2023-02-16T07:30:53Z,2019,2019-01-01,2019-12-31
30549253,WHOSIS_000014,REGION,AMR,,,YEAR,2020,SEX,BTSX,,,,,,,6.37 [6.02-6.88],6.36944,6.01955,6.88416,,2023-02-16T07:30:54Z,2020,2020-01-01,2020-12-31
30549254,WHOSIS_000014,REGION,AMR,,,YEAR,2021,SEX,BTSX,,,,,,,6.25 [5.88-6.8],6.25192,5.88392,6.80341,,2023-02-16T07:30:54Z,2021,2021-01-01,2021-12-31
30552659,WHOSIS_000014,REGION,SEAR,,,YEAR,2000,SEX,BTSX,,,,,,,28.26 [23.58-34.48],28.2615,23.57509,34.48257,,2023-02-16T07:32:40Z,2000,2000-01-01,2000-12-31
30552660,WHOSIS_000014,REGION,SEAR,,,YEAR,2001,SEX,BTSX,,,,,,,27.63 [23.33-33.16],27.62713,23.3288,33.1576,,2023-02-16T07:32:40Z,2001,2001-01-01,2001-12-31
30552661,WHOSIS_000014,REGION,SEAR,,,YEAR,2002,SEX,BTSX,,,,,,,26.94 [23.08-31.87],26.94384,23.08131,31.8673,,2023-02-16T07:32:40Z,2002,2002-01-01,2002-12-31
30552662,WHOSIS_000014,REGION,SEAR,,,YEAR,2003,SEX,BTSX,,,,,,,26.24 [22.78-30.55],26.24488,22.78176,30.55195,,2023-02-16T07:32:40Z,2003,2003-01-01,2003-12-31
30552663,WHOSIS_000014,REGION,SEAR,,,YEAR,2004,SEX,BTSX,,,,,,,25.47 [22.29-29.3],25.4658,22.29422,29.29762,,2023-02-16T07:32:40Z,2004,2004-01-01,2004-12-31
30552664,WHOSIS_000014,REGION,SEAR,,,YEAR,2005,SEX,BTSX,,,,,,,24.45 [21.54-27.95],24.44507,21.54019,27.95359,,2023-02-16T07:32:40Z,2005,2005-01-01,2005-12-31
30552665,WHOSIS_000014,REGION,SEAR,,,YEAR,2006,SEX,BTSX,,,,,,,23.48 [20.8-26.66],23.47584,20.79671,26.66489,,2023-02-16T07:32:40Z,2006,2006-01-01,2006-12-31
30552666,WHOSIS_000014,REGION,SEAR,,,YEAR,2007,SEX,BTSX,,,,,,,22.53 [20.06-25.54],22.53012,20.06049,25.53943,,2023-02-16T07:32:40Z,2007,2007-01-01,2007-12-31
30552667,WHOSIS_000014,REGION,SEAR,,,YEAR,2008,SEX,BTSX,,,,,,,21.65 [19.35-24.35],21.65432,19.3509,24.35236,,2023-02-16T07:32:40Z,2008,2008-01-01,2008-12-31
30552668,WHOSIS_000014,REGION,SEAR,,,YEAR,2009,SEX,BTSX,,,,,,,20.76 [18.71-23.15],20.75546,18.70869,23.15167,,2023-02-16T07:32:40Z,2009,2009-01-01,2009-12-31
30552669,WHOSIS_000014,REGION,SEAR,,,YEAR,2010,SEX,BTSX,,,,,,,19.88 [18.05-21.93],19.88078,18.0536,21.93276,,2023-02-16T07:32:40Z,2010,2010-01-01,2010-12-31
30552670,WHOSIS_000014,REGION,SEAR,,,YEAR,2011,SEX,BTSX,,,,,,,19.07 [17.51-20.88],19.07315,17.50878,20.87677,,2023-02-16T07:32:40Z,2011,2011-01-01,2011-12-31
30552671,WHOSIS_000014,REGION,SEAR,,,YEAR,2012,SEX,BTSX,,,,,,,18.59 [17.13-20.22],18.58585,17.13136,20.21635,,2023-02-16T07:32:40Z,2012,2012-01-01,2012-12-31
30552672,WHOSIS_000014,REGION,SEAR,,,YEAR,2013,SEX,BTSX,,,,,,,18.2 [16.78-19.76],18.19775,16.78419,19.76224,,2023-02-16T07:32:41Z,2013,2013-01-01,2013-12-31
30552673,WHOSIS_000014,REGION,SEAR,,,YEAR,2014,SEX,BTSX,,,,,,,17.7 [16.37-19.22],17.69801,16.36975,19.21673,,2023-02-16T07:32:41Z,2014,2014-01-01,2014-12-31
30552674,WHOSIS_000014,REGION,SEAR,,,YEAR,2015,SEX,BTSX,,,,,,,16.79 [15.52-18.29],16.79106,15.52041,18.29229,,2023-02-16T07:32:41Z,2015,2015-01-01,2015-12-31
30552675,WHOSIS_000014,REGION,SEAR,,,YEAR,2016,SEX,BTSX,,,,,,,15.84 [14.63-17.3],15.8402,14.63379,17.30035,,2023-02-16T07:32:41Z,2016,2016-01-01,2016-12-31
30552676,WHOSIS_000014,REGION,SEAR,,,YEAR,2017,SEX,BTSX,,,,,,,14.91 [13.73-16.31],14.91464,13.72892,16.31046,,2023-02-16T07:32:41Z,2017,2017-01-01,2017-12-31
